"codigo";"instituicao";"municipio";"uf"
"002565";"ABEU - CENTRO UNIVERSITÁRIO (UNIABEU)";"Belford Roxo";"RJ"
"021095";"Academia Militar das Agulhas Negras (AMAN)";"Resende";"RJ"
"003756";"ALFA - Faculdade de Almenara";"Almenara";"MG"
"018520";"ALFA - Faculdade de Araçuai (ALFA-Araçuai)";"Araçuaí";"MG"
"018692";"ALFA - Faculdade de Guanhães (ALFA - Gunhães)";"Guanhães";"MG"
"019853";"ATOPP BRASIL FACULDADE DE NEGÓCIOS (ATOPP BRASIL)";"Londrina";"PR"
"001636";"CASTELLI ESCOLA SUPERIOR DE HOTELARIA (CASTELLI ESH)";"Canela";"RS"
"004053";"CENTRO DE EDUCAÇÃO SUPERIOR BARNABITA (CESB)";"Belo Horizonte";"MG"
"001138";"CENTRO DE EDUCAÇÃO SUPERIOR DE BLUMENAU (CESBLU)";"Blumenau";"SC"
"000031";"CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG (UTRAMIG)";"Belo Horizonte";"MG"
"000073";"CENTRO DE ENSINO SUPERIOR DE ARCOVERDE (CESA)";"Arcoverde";"PE"
"000754";"CENTRO DE ENSINO SUPERIOR DE CATALÃO (CESUC)";"Catalão";"GO"
"003488";"Centro de Ensino Superior de Conselheiro Lafaiete (CES-CL)";"Conselheiro Lafaiete";"MG"
"002771";"CENTRO DE ENSINO SUPERIOR DE ILHÉUS (CESUPI)";"Ilhéus";"BA"
"000755";"CENTRO DE ENSINO SUPERIOR DE JATAÍ (CESUT)";"Jataí";"GO"
"000337";"CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA (CES/JF)";"Juiz de Fora";"MG"
"021892";"CENTRO DE ENSINO SUPERIOR DE PALMAS (CESUP)";"Palmas";"TO"
"004166";"CENTRO DE ENSINO SUPERIOR DE UBERABA (CESUBE)";"Uberaba";"MG"
"000490";"CENTRO DE ENSINO SUPERIOR DE VALENÇA (CESVA)";"Valença";"RJ"
"001159";"CENTRO DE ENSINO SUPERIOR DE VITÓRIA (CESV)";"Vitória";"ES"
"000861";"CENTRO DE ENSINO SUPERIOR DO AMAPÁ (CEAP)";"Macapá";"AP"
"000749";"CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAÍBA (CESVALE)";"Teresina";"PI"
"000674";"CENTRO DE ENSINO SUPERIOR DO VALE SÃO FRANCISCO (CESVASF)";"Belém de São Francisco";"PE"
"015351";"Centro de Ensino Superior Riograndense Marau CESURG";"Marau";"RS"
"018034";"Centro de Ensino Superior Riograndese (CESURG)";"Sarandi";"RS"
"015508";"Centro de Ensino Unificado do Piauí (CEUPI)";"Teresina";"PI"
"001977";"CENTRO DE ESTUDOS SUPERIORES APRENDIZ (CESA)";"Barbacena";"MG"
"000593";"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA (CEFET/RJ)";"Rio de Janeiro";"RJ"
"000594";"CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS (CEFET/MG)";"Belo Horizonte";"MG"
"001230";"CENTRO REGIONAL UNIVERSITÁRIO DE ESPÍRITO SANTO DO PINHAL (UNIPINHAL)";"Espírito Santo do Pinhal";"SP"
